review_id,source_row_index,topic_id,tipo_selezione,selection_rank,domain,seendate,title,url,estratto,peso_topic_dominante,confidenza_topic,termini_caratteristici,valutazione_preliminare,reviewer_id,protocol_version,fase_revisione,classificazione_umana,etichetta_tema_proposta,boilerplate_si_no,duplicato_sospetto_si_no,decisione_inclusione,note_revisore
T00-ARTIFACT_CHECK-01,0,0,artifact_check,1,adnkronos.com,2026-07-02,シリア、ダマスカスのカフェで爆発、死者7人に増加,https://www.adnkronos.com/internazionale/japanese/7_3bSpML3Y9sCd1fjnQWLvVh,"Scoop su Air Force One donato dal Qatar, Nyt nel mirino di Trump: mandati di comparizione per i reporter in Evidenza Presentato a Roma il 'Forum delle Città della Notte', Aurigemma: ""Il tema della sicurezza non ha colore politico"" in Evidenza Università, a Leonardo Maria Del Vecchio la laurea honoris causa in Diritto innovazione tecnologica e sostenibilità in Evidenza Presentato lo studio 'Sinergie tra agricoltura e trasporto aereo per la produzione di Saf' in Evidenza 'Sindrome di Rett: bisogni",0.1343638137847775,1.0,"in evidenza, evidenza, evidenza presentato, presentato, di rett, rett, bisogni prospettive, su air, rett bisogni, acadia, trump mandati, adnkronos acadia",possibile artefatto: caso ad alto peso da verificare,R1,1.0,calibrazione,,,,,,
T01-RANDOM_SEED_42-01,4937,1,random_seed_42,1,askanews.it,2026-03-18,"Milano, Salvini: dialogo con Vannacci non è possibile",https://askanews.it/2026/03/18/milano-salvini-dialogo-con-vannacci-non-e-possibile/,"Milano, 18 mar. (askanews) – Roberto Vannacci annuncia l’intenzione di correre con il proprio simbolo e un proprio candidato alle comunali di Milano: il dialogo col centrodestra è possibile? “No”, risponde secco Salvini, arrivando a Milano a una iniziativa per il Sì al referendum.",0.0136404838535492,0.886495159732795,"si, ma, da, al, le, partito, se, ci, chi, alla, centrodestra, pd",topic utile: caso casuale da verificare,R1,1.0,calibrazione,,,,,,
T01-RANDOM_SEED_42-02,6376,1,random_seed_42,2,gazzettadelsud.it,2026-02-03,"Vannacci lascia la Lega: ""Proseguo la mia strada da solo, Futuro nazionale è realtà"". Salvini: ""Sono deluso. Accolto quando aveva tutti contro"" - Gazzetta del Sud",https://gazzettadelsud.it/articoli/politica/2026/02/03/vannacci-lascia-la-lega-proseguo-la-mia-strada-da-solo-futuro-nazionale-e-realta-salvini-sono-deluso-accolto-quando-aveva-tutti-contro-953db452-c436-4946-a0d9-a1ee312d55bf/?utm_source=immediafeed&utm_medium=feed&utm_campaign=hp_nazionale,"«Inseguo un sogno, e vado lontano. Futuro nazionale. Il mio impegno, da sempre, è quello di cambiare l’Italia». Lo scrive sui suoi social Roberto Vannacci pubblicando il simbolo di Futuro nazionale. «Farla tornare - prosegue - un Paese sovrano, sicuro, libero, sviluppato, prospero ed esclusivo. Amo la mia Patria e voglio continuare a combattere per lei stando lontano da impicci, compromessi di convenienza e inciuci. Proseguo per la mia strada da solo, con tutti quelli che inseguono il sogno di l",0.0260304892574585,0.8328190837170772,"si, ma, da, al, le, partito, se, ci, chi, alla, centrodestra, pd",topic utile: caso casuale da verificare,R1,1.0,calibrazione,,,,,,
T01-RANDOM_SEED_42-03,3655,1,random_seed_42,3,corriereadriatico.it,2026-02-14,"Referendum Giustizia, No in vantaggio (ma la partita è tutta da giocare): ecco perché l'affluenza può fare la differenza",https://www.corriereadriatico.it/attualita/referendum_giustizia_sondaggi_no_tira-9359838.html,"Il referendum sulla giustizia “non tira”. E’ uno degli aspetti emerso dal sondaggio politico dell'Ipsos sul voto del 22 e 23 marzo, dove sembra prevalere il fronte del No (50,6%). La partita però è ancora tutta da giocare, perché e’ l’affluenza a poter far la differenza. Di certo gli italiani dimostrano di saperne ben poco della riforma Nordio. Solo il 10%, infatti, si definisce molto informato dei contenuti, il 36% dice di essere abbastanza informato, mentre più della metà ne sa poco o nulla. I",0.0240315184581472,0.955468609320466,"si, ma, da, al, le, partito, se, ci, chi, alla, centrodestra, pd",topic utile: caso casuale da verificare,R1,1.0,calibrazione,,,,,,
T01-TOP_WEIGHT-01,9771,1,top_weight,1,repubblica.it,2026-03-23,I risultati del Referendum Giustizia 2026: vince il no - la Repubblica,https://www.repubblica.it/politica/2026/03/23/diretta/risultati_referendum_2026_oggi_news-425239363/,"Riforma della giustizia: vince il no con il 53,7%, l’affluenza è vicina al 59%, precisamente al 58,93%. La premier Giorgia Meloni con un video sui social ammette la sconfitta: “La sovranità appartiene al popolo. Rispettiamo la decisione, resta chiaramente il rammarico per un'occasione persa. Andremo avanti”. Anche il ministro della Giustizia Carlo Nordio prende atto “con rispetto della decisione del popolo sovrano”. “Ce l'abbiamo messa tutta”, dice Nicolò Zanon, presidente del comitato del Sì. E",0.0540265038937657,0.7390051671543233,"si, ma, da, al, le, partito, se, ci, chi, alla, centrodestra, pd",topic utile: caso ad alto peso da verificare,R1,1.0,calibrazione,,,,,,
T01-TOP_WEIGHT-02,10754,1,top_weight,2,lastampa.it,2026-03-23,"Risultati Referendum 2026, vince il NO Segui la diretta - La Stampa",https://www.lastampa.it/cronaca/2026/03/23/diretta/referendum_giustizia_2026_voto_oggi_affluenza_news-15556139/,"Gli italiani hanno detto NO alla riforma della giustizia. Il fronte del NO alla modifica della legge costituzionale Ã¨ del 53,74%, oltre 14 milioni di voti, mentre il SÃ si Ã¨ fermato al 46,26% con 12 milioni di preferenze. Per quanto riguarda il voto degli italiani all'estero il trend inverte il dato registrato in Italia con il SÃ in maggioranza sul NO. La riforma costituzionale presentata dal governo prevedeva la separazione delle carriere dei magistrati, sdoppiare il Consiglio superiore della",0.0526457470293314,0.7182512416370541,"si, ma, da, al, le, partito, se, ci, chi, alla, centrodestra, pd",topic utile: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
T01-TOP_WEIGHT-03,3825,1,top_weight,3,laverita.info,2026-03-19,Barbera: «La sinistra che voterà No solo per dar contro a Meloni tradisce la Costituzione» — La Verità,https://www.laverita.info/intervista-augusto-barbera-referendum-giustizia-2676313538.html,"L’ex presidente della Consulta Augusto Barbera: «Non sono di destra, ma il governo sta facendo la cosa giusta. Tanti come me la sosterranno. L’Anm si è rivelata essere formazione politica». Nel suo elegante studio nel centro di Bologna ci sono centinaia di libri, tra cui molte preziose edizioni di antiquariato giuridico (compreso un Digesto di Giustiniano, pubblicato ad Amsterdam nel 1680, scritto in caratteri microscopici, e un’edizione dei Promessi sposi del 1916 con riprodotte le correzioni d",0.0493101958308337,0.9451524988079076,"si, ma, da, al, le, partito, se, ci, chi, alla, centrodestra, pd",topic utile: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
T02-ARTIFACT_CHECK-01,34007,2,artifact_check,1,rai.it,2026-06-11,Televideo - Homepage,http://www.televideo.rai.it/televideo/pub/view.jsp?id=1685898&p=120,"- Pagina 546 - Magazine TVI MESTIERI DI MIRKO – SPECIALE ALTO ADIGE ESTATE, dal 24 luglio su RaiPlay con un nuovo episodio, vai all'articolo UNDER 25 – Giovani talenti, dal 26 maggio su RaiPlay, vai all'articolo e al video promo IL CLUB - Canzoni sotto la pelle, dall’ 8 maggio su RaiPlay, vai all'articolo e al video promo - Cultura e SpettacoloFILM - ""L’HANGAR ROSSO"", vai all'articolo, al trailer e alle clip 1 e 2 TEATRO - ""IL BARBIERE DI SIVIGLIA - Opera Buffa in due atti"", vai all'articolo e a",0.18868751140924,1.0,"vai all, all articolo, vai, articolo al, su raiplay, al video, raiplay, pagina, clicca qui, clicca, video promo, raiplay vai",possibile artefatto: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
T03-ARTIFACT_CHECK-01,34702,3,artifact_check,1,ilfattoquotidiano.it,2026-07-04,Attentato,https://www.ilfattoquotidiano.it/2026/07/04/attentato-vignetta-natangelo-4-luglio/8439139/,"Napoli, 11 ug. (Adnkronos) - Peppino Di Capri è morto oggi a 87 anni dopo una lunga malattia. Il cantante è scomparso nella sua amata isola, a villa Castiglione. A dare la notizia è stato il quotidiano partenopeo 'Il mattino'. Lascia il figlio Nico, avuto con la prima moglie, ed Edoardo e Daria, avuti con Giuliana Gagliardi. Interprete della grande musica italiana e pianista raffinato, con Peppino di Capri se ne va un pezzo di storia della canzone, un artista che ha attraversato ottant’anni di m",0.2152536290128179,1.0,"peppino, capri, di capri, peppino di, sanremo, rockers, nel partecipa, nel vince, champagne, incide, giuliana, album",possibile artefatto: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
T04-ARTIFACT_CHECK-01,35335,4,artifact_check,1,varesenews.it,2026-03-26,A Varese il generale Vannacci riempie la sala: “Futuro Nazionale nel 2027 ci sarà”,https://www.varesenews.it/2026/03/a-varese-il-generale-vannacci-riempie-la-sala-futuro-nazionale-ci-sara-nel-2027/2530501/,"A Varese il generale Vannacci riempie la sala: “Futuro Nazionale nel 2027 ci sarà” Seicentocinquanta persone, nella serata della partita della nazionale. Militanti ma anche curiosi, anche di altri partiti del centrodestra. E già si parla delle elezioni a Varese, Gallarate e Busto Leggi i commenti TAG ARTICOLO Accedi o registrati per commentare questo articolo. L'email è richiesta ma non verrà mostrata ai visitatori. Il contenuto di questo commento esprime il pensiero dell'autore e non rappresent",0.1803904346521901,0.9971640890933294,"varese, di varese, varese le, scuola realizzata, altre ecco, felice su, su pronta, prima scuola, realizzata il, pnrr in, punto siamo, pronta la",possibile artefatto: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
