partito,layer,id,macrotema,quota
FdI / Meloni,Programmi,1,Politica estera e difesa,7.14
FdI / Meloni,Programmi,2,Unione europea,7.14
FdI / Meloni,Programmi,3,Istituzioni e assetto dello Stato,21.43
FdI / Meloni,Programmi,4,Economia e finanza pubblica,14.29
FdI / Meloni,Programmi,5,Lavoro e imprese,7.14
FdI / Meloni,Programmi,6,Welfare e pensioni,7.14
FdI / Meloni,Programmi,7,Sanità,0.0
FdI / Meloni,Programmi,8,Istruzione e ricerca,7.14
FdI / Meloni,Programmi,9,Ambiente ed energia,7.14
FdI / Meloni,Programmi,10,Immigrazione e cittadinanza,7.14
FdI / Meloni,Programmi,11,Sicurezza e criminalità,0.0
FdI / Meloni,Programmi,12,Diritti civili e società,14.29
FdI / Meloni,Programmi,13,Infrastrutture e territorio,0.0
FdI / Meloni,Programmi,14,Cultura e patrimonio,0.0
FdI / Meloni,Programmi,15,Sport,0.0
FdI / Meloni,Progetti di legge,1,Politica estera e difesa,5.18
FdI / Meloni,Progetti di legge,2,Unione europea,2.0
FdI / Meloni,Progetti di legge,3,Istituzioni e assetto dello Stato,14.19
FdI / Meloni,Progetti di legge,4,Economia e finanza pubblica,9.18
FdI / Meloni,Progetti di legge,5,Lavoro e imprese,10.35
FdI / Meloni,Progetti di legge,6,Welfare e pensioni,4.17
FdI / Meloni,Progetti di legge,7,Sanità,7.35
FdI / Meloni,Progetti di legge,8,Istruzione e ricerca,6.34
FdI / Meloni,Progetti di legge,9,Ambiente ed energia,5.34
FdI / Meloni,Progetti di legge,10,Immigrazione e cittadinanza,2.0
FdI / Meloni,Progetti di legge,11,Sicurezza e criminalità,18.7
FdI / Meloni,Progetti di legge,12,Diritti civili e società,3.17
FdI / Meloni,Progetti di legge,13,Infrastrutture e territorio,5.18
FdI / Meloni,Progetti di legge,14,Cultura e patrimonio,5.01
FdI / Meloni,Progetti di legge,15,Sport,1.84
FdI / Meloni,Stampa,1,Politica estera e difesa,24.84
FdI / Meloni,Stampa,2,Unione europea,8.08
FdI / Meloni,Stampa,3,Istituzioni e assetto dello Stato,17.13
FdI / Meloni,Stampa,4,Economia e finanza pubblica,4.04
FdI / Meloni,Stampa,5,Lavoro e imprese,9.67
FdI / Meloni,Stampa,6,Welfare e pensioni,0.45
FdI / Meloni,Stampa,7,Sanità,3.71
FdI / Meloni,Stampa,8,Istruzione e ricerca,3.17
FdI / Meloni,Stampa,9,Ambiente ed energia,6.12
FdI / Meloni,Stampa,10,Immigrazione e cittadinanza,4.15
FdI / Meloni,Stampa,11,Sicurezza e criminalità,6.36
FdI / Meloni,Stampa,12,Diritti civili e società,2.42
FdI / Meloni,Stampa,13,Infrastrutture e territorio,5.0
FdI / Meloni,Stampa,14,Cultura e patrimonio,2.96
FdI / Meloni,Stampa,15,Sport,1.9
PD / Schlein,Programmi,1,Politica estera e difesa,6.13
PD / Schlein,Programmi,2,Unione europea,4.08
PD / Schlein,Programmi,3,Istituzioni e assetto dello Stato,4.59
PD / Schlein,Programmi,4,Economia e finanza pubblica,6.63
PD / Schlein,Programmi,5,Lavoro e imprese,25.01
PD / Schlein,Programmi,6,Welfare e pensioni,3.06
PD / Schlein,Programmi,7,Sanità,6.63
PD / Schlein,Programmi,8,Istruzione e ricerca,6.63
PD / Schlein,Programmi,9,Ambiente ed energia,12.76
PD / Schlein,Programmi,10,Immigrazione e cittadinanza,3.06
PD / Schlein,Programmi,11,Sicurezza e criminalità,4.59
PD / Schlein,Programmi,12,Diritti civili e società,4.08
PD / Schlein,Programmi,13,Infrastrutture e territorio,7.14
PD / Schlein,Programmi,14,Cultura e patrimonio,4.59
PD / Schlein,Programmi,15,Sport,1.02
PD / Schlein,Progetti di legge,1,Politica estera e difesa,2.82
PD / Schlein,Progetti di legge,2,Unione europea,1.13
PD / Schlein,Progetti di legge,3,Istituzioni e assetto dello Stato,6.78
PD / Schlein,Progetti di legge,4,Economia e finanza pubblica,7.34
PD / Schlein,Progetti di legge,5,Lavoro e imprese,16.95
PD / Schlein,Progetti di legge,6,Welfare e pensioni,6.21
PD / Schlein,Progetti di legge,7,Sanità,18.64
PD / Schlein,Progetti di legge,8,Istruzione e ricerca,7.34
PD / Schlein,Progetti di legge,9,Ambiente ed energia,4.8
PD / Schlein,Progetti di legge,10,Immigrazione e cittadinanza,3.39
PD / Schlein,Progetti di legge,11,Sicurezza e criminalità,7.63
PD / Schlein,Progetti di legge,12,Diritti civili e società,4.52
PD / Schlein,Progetti di legge,13,Infrastrutture e territorio,6.5
PD / Schlein,Progetti di legge,14,Cultura e patrimonio,3.95
PD / Schlein,Progetti di legge,15,Sport,1.98
PD / Schlein,Stampa,1,Politica estera e difesa,12.96
PD / Schlein,Stampa,2,Unione europea,5.29
PD / Schlein,Stampa,3,Istituzioni e assetto dello Stato,23.07
PD / Schlein,Stampa,4,Economia e finanza pubblica,4.21
PD / Schlein,Stampa,5,Lavoro e imprese,12.22
PD / Schlein,Stampa,6,Welfare e pensioni,1.48
PD / Schlein,Stampa,7,Sanità,8.4
PD / Schlein,Stampa,8,Istruzione e ricerca,4.09
PD / Schlein,Stampa,9,Ambiente ed energia,5.25
PD / Schlein,Stampa,10,Immigrazione e cittadinanza,2.94
PD / Schlein,Stampa,11,Sicurezza e criminalità,5.46
PD / Schlein,Stampa,12,Diritti civili e società,2.71
PD / Schlein,Stampa,13,Infrastrutture e territorio,6.6
PD / Schlein,Stampa,14,Cultura e patrimonio,3.54
PD / Schlein,Stampa,15,Sport,1.77
Lega / Salvini,Programmi,1,Politica estera e difesa,5.15
Lega / Salvini,Programmi,2,Unione europea,4.36
Lega / Salvini,Programmi,3,Istituzioni e assetto dello Stato,3.9
Lega / Salvini,Programmi,4,Economia e finanza pubblica,11.82
Lega / Salvini,Programmi,5,Lavoro e imprese,17.66
Lega / Salvini,Programmi,6,Welfare e pensioni,2.75
Lega / Salvini,Programmi,7,Sanità,6.54
Lega / Salvini,Programmi,8,Istruzione e ricerca,6.2
Lega / Salvini,Programmi,9,Ambiente ed energia,17.42
Lega / Salvini,Programmi,10,Immigrazione e cittadinanza,2.29
Lega / Salvini,Programmi,11,Sicurezza e criminalità,4.36
Lega / Salvini,Programmi,12,Diritti civili e società,2.75
Lega / Salvini,Programmi,13,Infrastrutture e territorio,11.24
Lega / Salvini,Programmi,14,Cultura e patrimonio,2.75
Lega / Salvini,Programmi,15,Sport,0.8
Lega / Salvini,Progetti di legge,1,Politica estera e difesa,4.98
Lega / Salvini,Progetti di legge,2,Unione europea,0.59
Lega / Salvini,Progetti di legge,3,Istituzioni e assetto dello Stato,11.71
Lega / Salvini,Progetti di legge,4,Economia e finanza pubblica,16.54
Lega / Salvini,Progetti di legge,5,Lavoro e imprese,10.69
