id,macrotema,stampa,leggi,programmi,quadrante,mediana_stampa,mediana_leggi
1,Politica estera e difesa,13.34,3.12,5.47,Se ne parla soltanto,3.84,4.37
2,Unione europea,3.7,1.59,3.11,Ai margini,3.84,4.37
3,Istituzioni e assetto dello Stato,10.64,9.57,5.76,Se ne parla e si legifera,3.84,4.37
4,Economia e finanza pubblica,2.94,7.84,9.52,Si legifera in silenzio,3.84,4.37
5,Lavoro e imprese,7.99,9.15,18.54,Se ne parla e si legifera,3.84,4.37
6,Welfare e pensioni,0.78,2.48,3.22,Ai margini,3.84,4.37
7,Sanità,4.24,7.43,5.17,Se ne parla e si legifera,3.84,4.37
8,Istruzione e ricerca,3.09,4.97,6.75,Si legifera in silenzio,3.84,4.37
9,Ambiente ed energia,4.16,5.72,11.18,Se ne parla e si legifera,3.84,4.37
10,Immigrazione e cittadinanza,2.29,1.65,1.87,Ai margini,3.84,4.37
11,Sicurezza e criminalità,5.13,7.91,2.94,Se ne parla e si legifera,3.84,4.37
12,Diritti civili e società,2.12,2.77,2.67,Ai margini,3.84,4.37
13,Infrastrutture e territorio,4.95,4.37,5.66,Se ne parla e si legifera,3.84,4.37
14,Cultura e patrimonio,3.84,3.18,2.61,Se ne parla soltanto,3.84,4.37
15,Sport,2.35,0.96,0.57,Ai margini,3.84,4.37
