data_da,data_a,realizzatore,realizzatore_grezzo,committente,partito,valore_grezzo,valore_normalizzato,base_grezza,colonne_risposta,domanda,fonte
29/07/2026,03/08/2026,Swg,SWG. S.p.A.,La7,FdI / Meloni,27.0,28.69,94.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
29/07/2026,03/08/2026,Swg,SWG. S.p.A.,La7,PD / Schlein,20.6,21.89,94.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
29/07/2026,03/08/2026,Swg,SWG. S.p.A.,La7,M5S / Conte,13.0,13.82,94.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
29/07/2026,03/08/2026,Swg,SWG. S.p.A.,La7,Forza Italia / Tajani,7.4,7.86,94.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
29/07/2026,03/08/2026,Swg,SWG. S.p.A.,La7,Futuro Nazionale / Vannacci,7.2,7.65,94.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
29/07/2026,03/08/2026,Swg,SWG. S.p.A.,La7,AVS / Fratoianni-Bonelli,6.5,6.91,94.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
29/07/2026,03/08/2026,Swg,SWG. S.p.A.,La7,Lega / Salvini,5.5,5.84,94.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
29/07/2026,03/08/2026,Swg,SWG. S.p.A.,La7,Azione / Calenda,3.3,3.51,94.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
29/07/2026,03/08/2026,Swg,SWG. S.p.A.,La7,Italia Viva / Renzi,2.4,2.55,94.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
29/07/2026,03/08/2026,Swg,SWG. S.p.A.,La7,+Europa,1.2,1.28,94.1,1,"Se dovesse votare oggi alle elezioni nazionali, a quale dei seguenti partiti darebbe il suo voto più probabilmente?",sondaggipoliticoelettorali.it
19/06/2026,21/06/2026,Noto Sondaggi,NOTO SONDAGGI,IL GIORNALE,FdI / Meloni,27.0,30.17,89.5,2,"Se domani si dovesse votare per le elezioni politiche, lei quale lista voterebbe?",sondaggipoliticoelettorali.it
19/06/2026,21/06/2026,Noto Sondaggi,NOTO SONDAGGI,IL GIORNALE,Forza Italia / Tajani,6.5,7.26,89.5,2,"Se domani si dovesse votare per le elezioni politiche, lei quale lista voterebbe?",sondaggipoliticoelettorali.it
19/06/2026,21/06/2026,Noto Sondaggi,NOTO SONDAGGI,IL GIORNALE,Lega / Salvini,6.0,6.7,89.5,2,"Se domani si dovesse votare per le elezioni politiche, lei quale lista voterebbe?",sondaggipoliticoelettorali.it
