consultazione,data,lista,voti,pct
camera2022,2022-09-25,FRATELLI D'ITALIA CON GIORGIA MELONI,7098555,26.2233
camera2022,2022-09-25,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,5128861,18.9469
camera2022,2022-09-25,MOVIMENTO 5 STELLE,4178360,15.4356
camera2022,2022-09-25,LEGA PER SALVINI PREMIER,2392976,8.8401
camera2022,2022-09-25,FORZA ITALIA,2218466,8.1954
camera2022,2022-09-25,AZIONE - ITALIA VIVA - CALENDA,2065444,7.6301
camera2022,2022-09-25,ALLEANZA VERDI E SINISTRA,972919,3.5941
camera2022,2022-09-25,+EUROPA,759872,2.8071
camera2022,2022-09-25,ITALEXIT PER L'ITALIA,516465,1.9079
camera2022,2022-09-25,UNIONE POPOLARE CON DE MAGISTRIS,378959,1.3999
camera2022,2022-09-25,ITALIA SOVRANA E POPOLARE,336648,1.2436
camera2022,2022-09-25,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,247436,0.9141
camera2022,2022-09-25,SUD CHIAMA NORD,208793,0.7713
camera2022,2022-09-25,VITA,192038,0.7094
camera2022,2022-09-25,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,161624,0.5971
camera2022,2022-09-25,SUDTIROLER VOLKSPARTEI (SVP) - PATT,106092,0.3919
camera2022,2022-09-25,MASTELLA NOI DI CENTRO EUROPEISTI,43712,0.1615
camera2022,2022-09-25,PARTITO COMUNISTA ITALIANO,23736,0.0877
camera2022,2022-09-25,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,20082,0.0742
camera2022,2022-09-25,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,15814,0.0584
camera2022,2022-09-25,PARTITO DELLA FOLLIA CREATIVA,1304,0.0048
camera2022,2022-09-25,FORZA DEL POPOLO,763,0.0028
camera2022,2022-09-25,FREE,736,0.0027
europee2024,2024-06-09,FRATELLI D'ITALIA,6713364,28.8243
europee2024,2024-06-09,PARTITO DEMOCRATICO,5609327,24.0841
europee2024,2024-06-09,MOVIMENTO 5 STELLE,2326500,9.989
europee2024,2024-06-09,FORZA ITALIA - NOI MODERATI - PPE,2238962,9.6131
europee2024,2024-06-09,LEGA SALVINI PREMIER,2096486,9.0014
europee2024,2024-06-09,ALLEANZA VERDI E SINISTRA,1562606,6.7092
europee2024,2024-06-09,STATI UNITI D'EUROPA,875806,3.7603
europee2024,2024-06-09,AZIONE - SIAMO EUROPEI,778628,3.3431
europee2024,2024-06-09,PACE TERRA DIGNITA',513881,2.2064
europee2024,2024-06-09,LIBERTA',284577,1.2219
europee2024,2024-06-09,S�DTIROLER VOLKSPARTEI (SVP),120075,0.5156
europee2024,2024-06-09,ALTERNATIVA POPOLARE,90631,0.3891
europee2024,2024-06-09,DEMOCRAZIA SOVRANA POPOLARE,36037,0.1547
europee2024,2024-06-09,PARTITO ANIMALISTA - ITALEXIT PER L'ITALIA,29326,0.1259
europee2024,2024-06-09,RASSEMBLEMENT VALD�TAIN,14418,0.0619
senato2022,2022-09-25,FRATELLI D'ITALIA CON GIORGIA MELONI,6975727,26.2231
senato2022,2022-09-25,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,5019511,18.8693
senato2022,2022-09-25,MOVIMENTO 5 STELLE,4128240,15.5189
senato2022,2022-09-25,LEGA PER SALVINI PREMIER,2371657,8.9155
senato2022,2022-09-25,FORZA ITALIA,2223392,8.3582
senato2022,2022-09-25,AZIONE - ITALIA VIVA - CALENDA,2016702,7.5812
senato2022,2022-09-25,ALLEANZA VERDI E SINISTRA,933196,3.5081
senato2022,2022-09-25,+EUROPA,776455,2.9188
senato2022,2022-09-25,ITALEXIT PER L'ITALIA,497741,1.8711
senato2022,2022-09-25,UNIONE POPOLARE CON DE MAGISTRIS,351640,1.3219
senato2022,2022-09-25,ITALIA SOVRANA E POPOLARE,298902,1.1236
senato2022,2022-09-25,SUD CHIAMA NORD,267079,1.004
senato2022,2022-09-25,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,236258,0.8881
senato2022,2022-09-25,VITA,188258,0.7077
senato2022,2022-09-25,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,147460,0.5543
senato2022,2022-09-25,PARTITO COMUNISTA ITALIANO,68000,0.2556
senato2022,2022-09-25,MASTELLA NOI DI CENTRO EUROPEISTI,40101,0.1507
senato2022,2022-09-25,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,38033,0.143
senato2022,2022-09-25,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,15801,0.0594
senato2022,2022-09-25,PARTITO COMUNISTA DEI LAVORATORI,4247,0.016
senato2022,2022-09-25,DESTRE UNITE,2205,0.0083
senato2022,2022-09-25,FORZA DEL POPOLO,821,0.0031
