id,macrotema,layer1_programmi_pct,layer2_ddl_pct,layer3_stampa_pct,scarto_l1_l2,scarto_l2_l3
1,Politica estera e difesa,6.18,3.12,14.89,3.07,-11.78
2,Unione europea,2.6,1.59,4.14,1.02,-2.55
3,Istituzioni e assetto dello Stato,7.26,9.58,12.04,-2.33,-2.45
4,Economia e finanza pubblica,9.53,7.85,3.13,1.68,4.72
5,Lavoro e imprese,18.35,9.15,8.75,9.21,0.39
6,Welfare e pensioni,3.06,2.48,0.79,0.58,1.69
7,Sanità,4.65,7.43,4.37,-2.78,3.06
8,Istruzione e ricerca,7.26,4.97,3.43,2.29,1.53
9,Ambiente ed energia,9.6,5.64,3.16,3.96,2.48
10,Immigrazione e cittadinanza,2.28,1.65,1.93,0.63,-0.29
11,Sicurezza e criminalità,2.77,7.91,4.52,-5.14,3.39
12,Diritti civili e società,2.77,2.77,2.23,-0.0,0.54
13,Infrastrutture e territorio,4.46,4.38,5.09,0.07,-0.7
14,Cultura e patrimonio,2.6,3.18,4.08,-0.57,-0.91
15,Sport,0.42,0.96,2.46,-0.54,-1.49
,non assegnato,16.21,27.36,21.72,-11.15,5.64
,boilerplate,0.0,0.0,3.27,0.0,-3.27
