1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,consultazione,estrazione,fonte,gruppo_camera,non assegnato,paragrafi,partito_lista,politica non tematica
18.18,,,,,,,22.73,,4.55,9.09,,4.55,,9.09,politiche2022,ocr,viminale,,31.82,22,MASTELLA NOI DI CENTRO EUROPEISTI,
6.12,,4.08,,4.08,2.04,2.04,,22.45,10.2,18.37,2.04,4.08,6.12,6.12,politiche2022,ocr,viminale,,12.24,49,GILET ARANCIONI - UNIONE CATTOLICA ITALIANA,
4.55,2.02,3.85,2.43,9.92,2.43,0.71,3.85,3.44,10.43,15.59,2.43,5.77,5.47,15.38,politiche2022,nativa,wayback,LEGA - SALVINI PREMIER,11.54,988,LEGA PER SALVINI PREMIER,0.2
,,23.08,,15.38,,,,7.69,,23.08,,,,,politiche2022,ocr,viminale,,30.77,13,SUD CHIAMA NORD,
5.11,2.19,1.82,3.65,6.93,2.92,1.82,1.09,5.47,9.85,24.45,6.2,4.38,9.85,6.2,politiche2022,nativa,viminale,,7.66,274,AZIONE - ITALIA VIVA - CALENDA,0.36
20.0,,,,,,,,60.0,,,,,20.0,,politiche2022,ocr,viminale,,,5,SŰDTIROLER VOLKSPARTEI (SVP) - PATT,
4.47,0.94,1.65,1.18,5.88,2.35,,1.65,5.65,6.35,16.94,0.94,5.65,11.29,19.76,politiche2022,nativa,viminale,,14.82,425,ITALEXIT PER L'ITALIA,0.47
,,,,,,,,20.0,20.0,,,,20.0,,politiche2022,ocr,viminale,,40.0,5,PARTITO DELLA FOLLIA CREATIVA,
15.0,,1.67,3.33,,,,10.0,18.33,3.33,28.33,1.67,3.33,1.67,6.67,politiche2022,ocr,viminale,,6.67,60,PARTITO COMUNISTA ITALIANO,
,,,,,,,,,,,,,,,politiche2022,ocr,viminale,,100.0,2,VITA,
,3.33,3.33,3.33,,3.33,,1.67,10.0,21.67,13.33,3.33,1.67,8.33,5.0,politiche2022,ocr,viminale,,18.33,60,PENSIERO E AZIONE PPA,3.33
12.0,,,4.0,,,,12.0,,12.0,24.0,,8.0,4.0,24.0,politiche2022,ocr,viminale,,,25,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,
7.5,7.5,2.5,2.5,7.5,12.5,,5.0,2.5,15.0,10.0,5.0,2.5,5.0,5.0,politiche2022,ocr,viminale,,10.0,40,L'ITALIA DEL MERIDIONE,
2.44,,4.88,,7.32,3.66,2.44,,3.66,13.41,10.98,2.44,12.2,4.88,7.32,politiche2022,nativa,wayback,FORZA ITALIA - BERLUSCONI PRESIDENTE,24.39,82,FORZA ITALIA,
4.12,4.12,3.61,0.52,4.64,1.55,,1.03,4.12,6.19,12.37,2.06,6.7,12.37,17.53,politiche2022,nativa,viminale,,18.56,194,ALLEANZA VERDI E SINISTRA,0.52
4.41,0.72,2.46,2.77,4.82,2.56,1.02,4.2,4.2,8.71,21.41,4.3,5.23,6.35,12.4,politiche2022,nativa,wayback,MOVIMENTO 5 STELLE,14.24,976,MOVIMENTO 5 STELLE,0.2
5.52,1.38,3.45,2.76,10.34,4.83,0.69,1.38,3.45,11.72,23.45,4.14,4.83,8.28,8.28,politiche2022,nativa,wayback,FRATELLI D'ITALIA,5.52,145,FRATELLI D'ITALIA CON GIORGIA MELONI,
8.7,4.35,4.35,4.35,,,,,17.39,13.04,4.35,4.35,17.39,4.35,8.7,politiche2022,ocr,viminale,,8.7,23,FORZA DEL POPOLO,
6.25,3.12,6.25,3.12,9.38,1.56,,1.56,4.69,7.81,14.06,4.69,12.5,3.12,10.94,politiche2022,ocr,viminale,,10.94,64,UNIONE POPOLARE CON DE MAGISTRIS,
10.0,,,10.0,,10.0,10.0,,10.0,,30.0,10.0,,10.0,,politiche2022,nativa,viminale,,,10,ITALIA SOVRANA E POPOLARE,
5.43,2.71,4.07,3.62,6.33,4.07,0.9,3.62,4.07,5.88,22.17,2.71,5.88,5.88,11.31,politiche2022,nativa,wayback,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,9.5,221,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,1.81
5.88,5.88,5.88,5.88,11.76,5.88,5.88,,5.88,11.76,5.88,5.88,5.88,5.88,11.76,politiche2022,ocr,viminale,,,17,NOI MODERATI / LUPI - TOTI - BRUGNARO - UDC,
13.64,,,4.55,6.82,4.55,,2.27,9.09,6.82,15.91,2.27,9.09,6.82,,politiche2022,ocr,viminale,,18.18,44,DESTRE UNITE,
,,15.0,,,,,,5.0,5.0,15.0,10.0,5.0,5.0,20.0,politiche2022,ocr,viminale,,20.0,20,ITALIA DEI DIRITTI - DE PIERRO,
