1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,atti,gruppo,non assegnato,politica non tematica
22,11,59,27,37,28,3,7,98,62,105,25,99,56,72,938,MOVIMENTO 5 STELLE,224,3
34,19,75,23,44,32,8,4,80,113,73,19,57,45,57,936,LEGA - SALVINI PREMIER,250,3
31,12,112,19,31,30,11,12,85,55,62,25,44,38,32,839,FRATELLI D'ITALIA,236,4
19,13,59,24,26,21,2,12,88,42,44,13,48,44,35,664,MISTO,168,6
15,7,36,19,28,17,7,8,63,33,74,20,33,28,23,585,PARTITO DEMOCRATICO,168,6
10,12,27,16,23,14,7,4,24,26,60,22,66,26,17,484,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,127,3
14,8,41,16,19,12,3,,52,30,46,13,37,25,42,482,FORZA ITALIA - BERLUSCONI PRESIDENTE,121,3
3,1,44,10,10,11,3,,29,15,17,13,33,9,8,274,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE,68,
5,,2,1,7,1,1,2,10,6,12,,4,5,11,112,INSIEME PER IL FUTURO,44,1
2,1,5,6,6,1,,4,10,18,12,1,9,4,3,106,ITALIA VIVA,24,
1,4,4,6,1,1,,4,14,11,8,,9,2,3,94,AZIONE - ITALIA VIVA - RENEW EUROPE,24,2
1,1,8,3,2,,2,,6,1,6,,11,4,13,75,ALLEANZA VERDI E SINISTRA,16,1
1,3,4,2,3,2,,,8,4,2,,4,6,1,56,NOI MODERATI,14,2
,,4,1,,,,,2,2,2,2,2,1,31,53,"NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC, ITALIA AL CENTRO)-MAIE",6,
,,2,,3,1,3,2,4,5,6,2,,2,1,49,CORAGGIO ITALIA,18,
1,1,3,,4,,,,5,2,7,,1,6,8,49,LIBERI E UGUALI,11,
,1,,,1,,,2,6,,3,,4,,1,26,ITALIA VIVA-IL CENTRO-RENEW EUROPE,8,
,,,,,1,,,,,,,,,,2,AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE,1,
