marcatore,macrotema,articoli,quota_del_marcatore_pct
woke,Cultura e patrimonio,36,18.85
woke,non assegnato,35,18.32
woke,Immigrazione e cittadinanza,23,12.04
woke,Politica estera e difesa,18,9.42
woke,Diritti civili e società,16,8.38
woke,politica non tematica,14,7.33
woke,Istruzione e ricerca,13,6.81
woke,Unione europea,6,3.14
woke,Lavoro e imprese,6,3.14
woke,Economia e finanza pubblica,6,3.14
woke,Ambiente ed energia,5,2.62
woke,Istituzioni e assetto dello Stato,3,1.57
woke,Welfare e pensioni,3,1.57
woke,Sicurezza e criminalità,3,1.57
woke,Sanità,3,1.57
woke,boilerplate,1,0.52
