variable,metric,value
confidenza_topic,min,0.1628556519689895
confidenza_topic,mean,0.6362197165252861
confidenza_topic,median,0.6122773997857882
confidenza_topic,p25,0.4860550155015669
confidenza_topic,p75,0.78128437161808
confidenza_topic,p90,0.9227671355866003
confidenza_topic,p99,1.0
confidenza_topic,exactly_1_percentage,1.1884373864756863
confidenza_topic,below_0.40_percentage,9.941356583112771
confidenza_topic,below_0.50_percentage,28.023249779438476
confidenza_topic,below_0.60_percentage,47.81877627276974
topic_0_peso,min,0.0
topic_0_peso,mean,0.004425069047318332
topic_0_peso,median,0.0
topic_0_peso,p25,0.0
topic_0_peso,p75,0.0003054195270065
topic_0_peso,p90,0.00076692087390146
topic_0_peso,p99,0.1331739725148488
topic_0_peso,exactly_1_percentage,0.0
topic_1_peso,min,0.0
topic_1_peso,mean,0.00930993106223336
topic_1_peso,median,0.0073707949110003
topic_1_peso,p25,0.001233949010408
topic_1_peso,p75,0.0148869014373699
topic_1_peso,p90,0.02236221404586866
topic_1_peso,p99,0.032910131402738185
topic_1_peso,exactly_1_percentage,0.0
topic_2_peso,min,0.0
topic_2_peso,mean,0.0015124291001181566
topic_2_peso,median,0.0
topic_2_peso,p25,0.0
topic_2_peso,p75,0.0003522293500022
topic_2_peso,p90,0.00089572686560342
topic_2_peso,p99,0.0032038010824961
topic_2_peso,exactly_1_percentage,0.0
topic_3_peso,min,0.0
topic_3_peso,mean,0.0018029216398677795
topic_3_peso,median,0.0
topic_3_peso,p25,0.0
topic_3_peso,p75,0.0005610723417374
topic_3_peso,p90,0.0013662709683705402
topic_3_peso,p99,0.005693512699884676
topic_3_peso,exactly_1_percentage,0.0
topic_4_peso,min,0.0
topic_4_peso,mean,0.0027240081145634898
topic_4_peso,median,7.466992128222931e-06
topic_4_peso,p25,0.0
topic_4_peso,p75,0.000626721602312
topic_4_peso,p90,0.0014043243687799206
topic_4_peso,p99,0.10160233380770324
topic_4_peso,exactly_1_percentage,0.0
topic_5_peso,min,0.0
topic_5_peso,mean,0.0015497459897573901
topic_5_peso,median,0.0
topic_5_peso,p25,0.0
topic_5_peso,p75,0.0004869386153988
topic_5_peso,p90,0.00151245177706722
topic_5_peso,p99,0.009089617473717485
topic_5_peso,exactly_1_percentage,0.0
topic_6_peso,min,0.0
topic_6_peso,mean,0.0010658758062220375
topic_6_peso,median,0.0
topic_6_peso,p25,0.0
topic_6_peso,p75,0.0004433241770365
topic_6_peso,p90,0.001043703136857821
topic_6_peso,p99,0.002681679566198908
topic_6_peso,exactly_1_percentage,0.0
topic_7_peso,min,0.0
topic_7_peso,mean,0.0010085973974171345
topic_7_peso,median,0.0
topic_7_peso,p25,0.0
topic_7_peso,p75,0.0005058866176757
topic_7_peso,p90,0.001258613294486
topic_7_peso,p99,0.0038987172355824146
topic_7_peso,exactly_1_percentage,0.0
topic_8_peso,min,0.0
topic_8_peso,mean,0.007473727793135428
topic_8_peso,median,0.0021359264993869
topic_8_peso,p25,0.0
topic_8_peso,p75,0.0095897252638163
topic_8_peso,p90,0.02384167209788721
topic_8_peso,p99,0.0521073286848356
topic_8_peso,exactly_1_percentage,0.0
topic_9_peso,min,0.0
topic_9_peso,mean,0.00971230990601816
topic_9_peso,median,0.0071968615936648
topic_9_peso,p25,0.0005776821539402
topic_9_peso,p75,0.0159856578218057
topic_9_peso,p90,0.024112504817486943
topic_9_peso,p99,0.03596950912675119
topic_9_peso,exactly_1_percentage,0.0
topic_10_peso,min,0.0
topic_10_peso,mean,0.00250359955840441
topic_10_peso,median,0.0
topic_10_peso,p25,0.0
topic_10_peso,p75,0.0011920325919886
topic_10_peso,p90,0.0037658644624111604
topic_10_peso,p99,0.0659955967680836
topic_10_peso,exactly_1_percentage,0.0
topic_11_peso,min,0.0
topic_11_peso,mean,0.004173425977447034
topic_11_peso,median,3.533028238109294e-05
topic_11_peso,p25,0.0
topic_11_peso,p75,0.0028256705485927
topic_11_peso,p90,0.01467794051751246
topic_11_peso,p99,0.04811537165609605
topic_11_peso,exactly_1_percentage,0.0
