topic_id,domain,articles,topic_articles,topic_percentage,rank
0,adnkronos.com,3096,3099,99.90319457889642,1
0,lagazzettadelmezzogiorno.it,1,3099,0.032268473701193935,2
0,lanazione.it,1,3099,0.032268473701193935,3
0,laverita.info,1,3099,0.032268473701193935,4
1,ilgiornale.it,2978,30908,9.635045942797982,1
1,iltempo.it,2014,30908,6.516112333376473,2
1,lanazione.it,1758,30908,5.687847806393167,3
1,repubblica.it,1710,30908,5.532548207583797,4
1,lastampa.it,1465,30908,4.739873171994305,5
1,ilrestodelcarlino.it,1336,30908,4.322505500194125,6
1,ilmessaggero.it,1212,30908,3.921314869936586,7
1,ilmattino.it,1151,30908,3.7239549631163453,8
1,ilfoglio.it,1114,30908,3.60424485570079,9
1,ilfattoquotidiano.it,1081,30908,3.4974763815193475,10
2,rai.it,666,669,99.55156950672645,1
2,askanews.it,2,669,0.29895366218236175,2
2,ilrestodelcarlino.it,1,669,0.14947683109118087,3
3,ilfattoquotidiano.it,622,635,97.95275590551181,1
3,askanews.it,5,635,0.7874015748031495,2
3,repubblica.it,3,635,0.47244094488188976,3
3,adnkronos.com,1,635,0.15748031496062992,4
3,affaritaliani.it,1,635,0.15748031496062992,5
3,ilgiorno.it,1,635,0.15748031496062992,6
3,lastampa.it,1,635,0.15748031496062992,7
3,mediaset.it,1,635,0.15748031496062992,8
4,varesenews.it,2289,2303,99.3920972644377,1
4,laverita.info,6,2303,0.26052974381241856,2
4,mediaset.it,2,2303,0.08684324793747286,3
4,ilsecoloxix.it,1,2303,0.04342162396873643,4
4,ladige.it,1,2303,0.04342162396873643,5
4,lagazzettadelmezzogiorno.it,1,2303,0.04342162396873643,6
4,lanazione.it,1,2303,0.04342162396873643,7
4,lastampa.it,1,2303,0.04342162396873643,8
4,vocedimantova.it,1,2303,0.04342162396873643,9
5,iltempo.it,891,898,99.22048997772829,1
5,askanews.it,3,898,0.33407572383073497,2
5,lagazzettadelmezzogiorno.it,3,898,0.33407572383073497,3
5,laverita.info,1,898,0.11135857461024498,4
6,ilmessaggero.it,341,394,86.5482233502538,1
6,ilmattino.it,50,394,12.690355329949238,2
6,lagazzettadelmezzogiorno.it,2,394,0.5076142131979695,3
6,leggo.it,1,394,0.25380710659898476,4
7,iltempo.it,255,392,65.05102040816327,1
7,repubblica.it,108,392,27.55102040816326,2
7,laverita.info,14,392,3.571428571428571,3
7,rai.it,5,392,1.2755102040816326,4
7,lanazione.it,3,392,0.7653061224489796,5
7,ilgiorno.it,2,392,0.5102040816326531,6
7,italpress.com,2,392,0.5102040816326531,7
7,ilmessaggero.it,1,392,0.25510204081632654,8
7,ilrestodelcarlino.it,1,392,0.25510204081632654,9
7,ilsecoloxix.it,1,392,0.25510204081632654,10
8,iltempo.it,1523,16934,8.993740403921105,1
8,askanews.it,1081,16934,6.383606944608481,2
8,ilgiornale.it,1060,16934,6.259596078894532,3
8,ansa.it,906,16934,5.3501830636589105,4
8,ilmessaggero.it,894,16934,5.279319711822369,5
8,repubblica.it,893,16934,5.2734144325026575,6
8,adnkronos.com,849,16934,5.013582142435337,7
8,italpress.com,768,16934,4.53525451753868,8
8,lastampa.it,690,16934,4.074642730601157,9
8,laverita.info,588,16934,3.4723042399905513,10
9,lanazione.it,3299,29165,11.31150351448654,1
9,ansa.it,2376,29165,8.146751242928167,2
9,ilrestodelcarlino.it,2070,29165,7.097548431338933,3
9,ilgiornale.it,1190,29165,4.080233156180353,4
9,iltempo.it,1189,29165,4.076804388822219,5
9,ilgiorno.it,1047,29165,3.589919423967084,6
9,lastampa.it,1022,29165,3.5042002400137147,7
9,gazzettadelsud.it,934,29165,3.2024687124978573,8
9,ilmattino.it,865,29165,2.9658837647865592,9
9,lagazzettadelmezzogiorno.it,854,29165,2.928167323847077,10
10,agi.it,906,2726,33.235509904622155,1
10,ilmessaggero.it,775,2726,28.429933969185623,2
10,affaritaliani.it,410,2726,15.040352164343359,3
10,ilmattino.it,379,2726,13.903154805575934,4
10,ilgazzettino.it,71,2726,2.6045487894350696,5
10,italpress.com,58,2726,2.127659574468085,6
10,askanews.it,50,2726,1.834189288334556,7
10,repubblica.it,19,2726,0.6969919295671314,8
10,laverita.info,13,2726,0.4768892149669846,9
10,lastampa.it,9,2726,0.3301540719002201,10
11,ansa.it,6134,8222,74.60471904646072,1
11,gazzettadiparma.it,1011,8222,12.296278277791291,2
11,ladige.it,549,8222,6.6772074920943805,3
11,lagazzettadelmezzogiorno.it,252,8222,3.064947701289224,4
11,giornaledibrescia.it,54,8222,0.6567745074191195,5
11,askanews.it,35,8222,0.4256871807346145,6
11,ilmessaggero.it,35,8222,0.4256871807346145,7
11,leggo.it,31,8222,0.3770372172220871,8
11,unionesarda.it,21,8222,0.2554123084407687,9
11,avvenire.it,12,8222,0.1459498905375821,10
